"id externe","attribute_line_ids/id","attribute_line_ids/attribute_id/id","attribute_line_ids/value_ids/id"
"product_38923","product_38923___export__.product_attribute_1112_f35bcf40_88072","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_38923","product_38923___export__.product_attribute_1097_cc3e7c12_88073","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39123_7088aa22"
"product_46084","product_46084___export__.product_attribute_1098_d3402d46_88074","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_46084","product_46084___export__.product_attribute_1097_cc3e7c12_88075","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39123_7088aa22"
"product_48344","product_48344___export__.product_attribute_1098_d3402d46_88076","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_48344","product_48344___export__.product_attribute_1105_957956d0_88077","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_48344","product_48344___export__.product_attribute_1112_f35bcf40_88078","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_48344","product_48344___export__.product_attribute_1112_f35bcf40_88079","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40385_e37e5b98"
"product_48830","product_48830___export__.product_attribute_1098_d3402d46_88080","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_48830","product_48830___export__.product_attribute_1105_957956d0_88081","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_48830","product_48830___export__.product_attribute_1112_f35bcf40_88082","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40386_002bb3c5"
"product_48830","product_48830___export__.product_attribute_1112_f35bcf40_88083","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40391_2ff1ce8e"
"product_48831","product_48831___export__.product_attribute_1098_d3402d46_88084","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_48831","product_48831___export__.product_attribute_1105_957956d0_88085","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_48831","product_48831___export__.product_attribute_1112_f35bcf40_88086","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_48831","product_48831___export__.product_attribute_1097_cc3e7c12_88087","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_48832","product_48832___export__.product_attribute_1098_d3402d46_88088","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_48832","product_48832___export__.product_attribute_1105_957956d0_88089","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_48832","product_48832___export__.product_attribute_1112_f35bcf40_88090","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40385_e37e5b98"
"product_48832","product_48832___export__.product_attribute_1097_cc3e7c12_88091","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39123_7088aa22"
"product_48840","product_48840___export__.product_attribute_1098_d3402d46_88092","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_48840","product_48840___export__.product_attribute_1105_957956d0_88093","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_48840","product_48840___export__.product_attribute_1112_f35bcf40_88094","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40391_2ff1ce8e"
"product_49597","product_49597___export__.product_attribute_1098_d3402d46_88095","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49597","product_49597___export__.product_attribute_1105_957956d0_88096","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49597","product_49597___export__.product_attribute_1112_f35bcf40_88097","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_49597","product_49597___export__.product_attribute_1097_cc3e7c12_88098","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39121_8759e316"
"product_49598","product_49598___export__.product_attribute_1098_d3402d46_88099","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49598","product_49598___export__.product_attribute_1105_957956d0_88100","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49598","product_49598___export__.product_attribute_1112_f35bcf40_88101","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_49598","product_49598___export__.product_attribute_1097_cc3e7c12_88102","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39123_7088aa22"
"product_49599","product_49599___export__.product_attribute_1098_d3402d46_88103","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49599","product_49599___export__.product_attribute_1105_957956d0_88104","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49599","product_49599___export__.product_attribute_1112_f35bcf40_88105","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40385_e37e5b98"
"product_49599","product_49599___export__.product_attribute_1112_f35bcf40_88106","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40391_2ff1ce8e"
"product_49600","product_49600___export__.product_attribute_1098_d3402d46_88107","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49600","product_49600___export__.product_attribute_1105_957956d0_88108","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49600","product_49600___export__.product_attribute_1112_f35bcf40_88109","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40385_e37e5b98"
"product_49600","product_49600___export__.product_attribute_1112_f35bcf40_88110","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40391_2ff1ce8e"
"product_49600","product_49600___export__.product_attribute_1097_cc3e7c12_88111","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_49601","product_49601___export__.product_attribute_1098_d3402d46_88112","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49601","product_49601___export__.product_attribute_1105_957956d0_88113","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49601","product_49601___export__.product_attribute_1112_f35bcf40_88114","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_49602","product_49602___export__.product_attribute_1098_d3402d46_88115","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49602","product_49602___export__.product_attribute_1105_957956d0_88116","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49602","product_49602___export__.product_attribute_1097_cc3e7c12_88117","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_49602","product_49602___export__.product_attribute_1112_f35bcf40_88118","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40390_7718d0f3"
"product_49602","product_49602___export__.product_attribute_1112_f35bcf40_88119","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_49993","product_49993___export__.product_attribute_1098_d3402d46_88120","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49993","product_49993___export__.product_attribute_1105_957956d0_88121","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_49993","product_49993___export__.product_attribute_1112_f35bcf40_88122","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40391_2ff1ce8e"
"product_49993","product_49993___export__.product_attribute_1097_cc3e7c12_88123","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_52279","product_52279___export__.product_attribute_1098_d3402d46_88124","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_52279","product_52279___export__.product_attribute_1105_957956d0_88125","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_52279","product_52279___export__.product_attribute_1097_cc3e7c12_88126","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39123_7088aa22"
"product_52346","product_52346___export__.product_attribute_1098_d3402d46_88127","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
