"id externe","attribute_line_ids/id","attribute_line_ids/attribute_id/id","attribute_line_ids/value_ids/id"
"product_6521","product_6521___export__.product_attribute_1098_d3402d46_105686","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_12480","product_12480___export__.product_attribute_1098_d3402d46_105687","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_19518","product_19518___export__.product_attribute_1098_d3402d46_105688","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39153_cde6c017"
"product_21936","product_21936___export__.product_attribute_1098_d3402d46_105689","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_21937","product_21937___export__.product_attribute_1098_d3402d46_105690","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_22031","product_22031___export__.product_attribute_1098_d3402d46_105691","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_22031","product_22031___export__.product_attribute_1100_6c4b3516_105692","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39206_2ffa68ca"
"product_22031","product_22031___export__.product_attribute_1105_957956d0_105693","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_22114","product_22114___export__.product_attribute_1098_d3402d46_105694","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_24755","product_24755___export__.product_attribute_1098_d3402d46_105695","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_27213","product_27213___export__.product_attribute_1100_6c4b3516_105696","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39205_c97f16c2"
"product_29176","product_29176___export__.product_attribute_1100_6c4b3516_105697","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39206_2ffa68ca"
"product_29176","product_29176___export__.product_attribute_1099_57dff974_105698","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_30258","product_30258___export__.product_attribute_1098_d3402d46_105699","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39151_96f74725"
"product_30258","product_30258___export__.product_attribute_1099_57dff974_105700","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_30258","product_30258___export__.product_attribute_1100_6c4b3516_105701","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39206_2ffa68ca"
"product_30422","product_30422___export__.product_attribute_1098_d3402d46_105702","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_36818","product_36818___export__.product_attribute_1105_957956d0_105703","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_36818","product_36818___export__.product_attribute_1112_f35bcf40_105704","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40386_002bb3c5"
"product_39953","product_39953___export__.product_attribute_1098_d3402d46_105705","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_39953","product_39953___export__.product_attribute_1111_24f78ddc_105706","__export__.product_attribute_1111_24f78ddc","__export__.product_attribute_value_40379_920ee92c"
"product_49258","product_49258___export__.product_attribute_1098_d3402d46_105707","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_49259","product_49259___export__.product_attribute_1098_d3402d46_105708","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_1598","product_1598___export__.product_attribute_1098_d3402d46_105709","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_3128","product_3128___export__.product_attribute_1098_d3402d46_105710","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_3859","product_3859___export__.product_attribute_1098_d3402d46_105711","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_14041","product_14041___export__.product_attribute_1098_d3402d46_105712","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_31970","product_31970___export__.product_attribute_1098_d3402d46_105713","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_31970","product_31970___export__.product_attribute_1143_31c740e2_105714","__export__.product_attribute_1143_31c740e2","__export__.product_attribute_value_42092_d998e32c"
"product_1559","product_1559___export__.product_attribute_1098_d3402d46_105715","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_1562","product_1562___export__.product_attribute_1098_d3402d46_105716","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39152_3d27b449"
"product_1845","product_1845___export__.product_attribute_1098_d3402d46_105717","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_1845","product_1845___import__.attribut_28_105718","__import__.attribut_28","__export__.product_attribute_value_41378_81d09676"
"product_1845","product_1845___import__.attribut_66_105719","__import__.attribut_66","__export__.product_attribute_value_43240_41a50347"
"product_27837","product_27837___export__.product_attribute_1098_d3402d46_105720","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_31163","product_31163___export__.product_attribute_1098_d3402d46_105721","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_31163","product_31163___import__.attribut_46_105722","__import__.attribut_46","__export__.product_attribute_value_41901_d6ef496f"
"product_31942","product_31942___export__.product_attribute_1098_d3402d46_105723","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_31942","product_31942___import__.attribut_28_105724","__import__.attribut_28","__export__.product_attribute_value_41373_5cbb4035"
"product_31942","product_31942___import__.attribut_66_105725","__import__.attribut_66","__export__.product_attribute_value_43237_0daf7b98"
"product_35301","product_35301___export__.product_attribute_1105_957956d0_105726","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_35301","product_35301___export__.product_attribute_1105_957956d0_105727","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39366_5e30343e"
"product_35301","product_35301___export__.product_attribute_1112_f35bcf40_105728","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40384_5755222f"
"product_36941","product_36941___export__.product_attribute_1098_d3402d46_105729","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_36941","product_36941___export__.product_attribute_1112_f35bcf40_105730","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40411_c132b1a9"
"product_36941","product_36941___import__.attribut_28_105731","__import__.attribut_28","__export__.product_attribute_value_41371_f61120c2"
"product_37688","product_37688___export__.product_attribute_1098_d3402d46_105732","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_37688","product_37688___export__.product_attribute_1098_d3402d46_105733","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39155_fe1dfe00"
"product_48383","product_48383___export__.product_attribute_1098_d3402d46_105734","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_48383","product_48383___import__.attribut_28_105735","__import__.attribut_28","__export__.product_attribute_value_41379_ad850d2b"
"product_48383","product_48383___import__.attribut_66_105736","__import__.attribut_66","__export__.product_attribute_value_43236_95ecd6ff"
"product_49159","product_49159___export__.product_attribute_1098_d3402d46_105737","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_49159","product_49159___import__.attribut_28_105738","__import__.attribut_28","__export__.product_attribute_value_41383_702844d2"
"product_49316","product_49316___import__.attribut_28_105739","__import__.attribut_28","__export__.product_attribute_value_41416_52330810"
"product_49316","product_49316___import__.attribut_66_105740","__import__.attribut_66","__export__.product_attribute_value_43236_95ecd6ff"
"product_50244","product_50244___export__.product_attribute_1098_d3402d46_105741","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_50244","product_50244___import__.attribut_28_105742","__import__.attribut_28","__export__.product_attribute_value_41383_702844d2"
"product_51307","product_51307___import__.attribut_28_105743","__import__.attribut_28","__export__.product_attribute_value_41370_e3ca7c15"
"product_53161","product_53161___export__.product_attribute_1098_d3402d46_105744","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39166_2b153753"
"product_53161","product_53161___import__.attribut_28_105745","__import__.attribut_28","__export__.product_attribute_value_41370_e3ca7c15"
"product_53162","product_53162___import__.attribut_46_105746","__import__.attribut_46","__export__.product_attribute_value_41942_26c6438b"
"product_53162","product_53162___import__.attribut_66_105747","__import__.attribut_66","__export__.product_attribute_value_43238_506e7cef"
"product_27234","product_27234___export__.product_attribute_1097_cc3e7c12_105748","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_27234","product_27234___export__.product_attribute_1098_d3402d46_105749","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27234","product_27234___export__.product_attribute_1099_57dff974_105750","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_27234","product_27234___export__.product_attribute_1099_57dff974_105751","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39203_a509b074"
"product_27234","product_27234___export__.product_attribute_1101_4b495b10_105752","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_31259","product_31259___export__.product_attribute_1097_cc3e7c12_105753","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_31259","product_31259___export__.product_attribute_1097_cc3e7c12_105754","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39116_41d06d16"
"product_31259","product_31259___export__.product_attribute_1098_d3402d46_105755","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_31259","product_31259___export__.product_attribute_1099_57dff974_105756","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_31259","product_31259___export__.product_attribute_1101_4b495b10_105757","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39223_3483e52e"
"product_33057","product_33057___export__.product_attribute_1097_cc3e7c12_105758","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_33057","product_33057___export__.product_attribute_1098_d3402d46_105759","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33057","product_33057___export__.product_attribute_1099_57dff974_105760","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33057","product_33057___export__.product_attribute_1101_4b495b10_105761","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39221_62ed9def"
"product_33058","product_33058___export__.product_attribute_1097_cc3e7c12_105762","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_33058","product_33058___export__.product_attribute_1098_d3402d46_105763","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33058","product_33058___export__.product_attribute_1099_57dff974_105764","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33058","product_33058___export__.product_attribute_1101_4b495b10_105765","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39221_62ed9def"
"product_33059","product_33059___export__.product_attribute_1097_cc3e7c12_105766","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_33059","product_33059___export__.product_attribute_1098_d3402d46_105767","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33059","product_33059___export__.product_attribute_1099_57dff974_105768","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33059","product_33059___export__.product_attribute_1101_4b495b10_105769","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39221_62ed9def"
"product_33060","product_33060___export__.product_attribute_1097_cc3e7c12_105770","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_33060","product_33060___export__.product_attribute_1098_d3402d46_105771","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33060","product_33060___export__.product_attribute_1099_57dff974_105772","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33060","product_33060___export__.product_attribute_1101_4b495b10_105773","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39221_62ed9def"
"product_33061","product_33061___export__.product_attribute_1097_cc3e7c12_105774","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_33061","product_33061___export__.product_attribute_1098_d3402d46_105775","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33061","product_33061___export__.product_attribute_1099_57dff974_105776","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33061","product_33061___export__.product_attribute_1101_4b495b10_105777","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39221_62ed9def"
"product_33062","product_33062___export__.product_attribute_1097_cc3e7c12_105778","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_33062","product_33062___export__.product_attribute_1098_d3402d46_105779","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33062","product_33062___export__.product_attribute_1099_57dff974_105780","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33062","product_33062___export__.product_attribute_1101_4b495b10_105781","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39221_62ed9def"
"product_56147","product_56147___export__.product_attribute_1097_cc3e7c12_105782","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39116_41d06d16"
"product_56147","product_56147___export__.product_attribute_1098_d3402d46_105783","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_56147","product_56147___export__.product_attribute_1099_57dff974_105784","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39203_a509b074"
"product_56147","product_56147___export__.product_attribute_1143_31c740e2_105785","__export__.product_attribute_1143_31c740e2","__export__.product_attribute_value_42088_a4bbe7de"
"product_24662","product_24662___export__.product_attribute_1097_cc3e7c12_105786","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_24662","product_24662___export__.product_attribute_1098_d3402d46_105787","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_24662","product_24662___export__.product_attribute_1099_57dff974_105788","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_24662","product_24662___export__.product_attribute_1101_4b495b10_105789","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39235_c2baeb32"
"product_27249","product_27249___export__.product_attribute_1097_cc3e7c12_105790","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_27249","product_27249___export__.product_attribute_1098_d3402d46_105791","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27249","product_27249___export__.product_attribute_1101_4b495b10_105792","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27250","product_27250___export__.product_attribute_1097_cc3e7c12_105793","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_27250","product_27250___export__.product_attribute_1098_d3402d46_105794","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27250","product_27250___export__.product_attribute_1099_57dff974_105795","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_27250","product_27250___export__.product_attribute_1101_4b495b10_105796","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27252","product_27252___export__.product_attribute_1097_cc3e7c12_105797","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_27252","product_27252___export__.product_attribute_1098_d3402d46_105798","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27252","product_27252___export__.product_attribute_1099_57dff974_105799","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_27252","product_27252___export__.product_attribute_1101_4b495b10_105800","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27252","product_27252___export__.product_attribute_1105_957956d0_105801","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_27252","product_27252___export__.product_attribute_1105_957956d0_105802","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39366_5e30343e"
"product_27252","product_27252___export__.product_attribute_1112_f35bcf40_105803","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_27255","product_27255___export__.product_attribute_1097_cc3e7c12_105804","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_27255","product_27255___export__.product_attribute_1097_cc3e7c12_105805","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_27255","product_27255___export__.product_attribute_1098_d3402d46_105806","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27255","product_27255___export__.product_attribute_1101_4b495b10_105807","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27256","product_27256___export__.product_attribute_1097_cc3e7c12_105808","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_27256","product_27256___export__.product_attribute_1097_cc3e7c12_105809","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_27256","product_27256___export__.product_attribute_1098_d3402d46_105810","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27256","product_27256___export__.product_attribute_1101_4b495b10_105811","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27443","product_27443___export__.product_attribute_1097_cc3e7c12_105812","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_27443","product_27443___export__.product_attribute_1098_d3402d46_105813","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27443","product_27443___export__.product_attribute_1101_4b495b10_105814","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27445","product_27445___export__.product_attribute_1097_cc3e7c12_105815","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_27445","product_27445___export__.product_attribute_1098_d3402d46_105816","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27445","product_27445___export__.product_attribute_1099_57dff974_105817","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_27445","product_27445___export__.product_attribute_1101_4b495b10_105818","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_27445","product_27445___export__.product_attribute_1101_4b495b10_105819","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39297_a873a236"
"product_27445","product_27445___export__.product_attribute_1105_957956d0_105820","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_27445","product_27445___export__.product_attribute_1105_957956d0_105821","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39366_5e30343e"
"product_27445","product_27445___export__.product_attribute_1112_f35bcf40_105822","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_27446","product_27446___export__.product_attribute_1097_cc3e7c12_105823","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_27446","product_27446___export__.product_attribute_1098_d3402d46_105824","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_27446","product_27446___export__.product_attribute_1099_57dff974_105825","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
