"id externe","attribute_line_ids/id","attribute_line_ids/attribute_id/id","attribute_line_ids/value_ids/id"
"product_33465","product_33465___export__.product_attribute_1105_957956d0_123300","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39366_5e30343e"
"product_33465","product_33465___export__.product_attribute_1105_957956d0_123301","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_33476","product_33476___export__.product_attribute_1096_cccb3879_123302","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39106_e6ee1b33"
"product_33476","product_33476___export__.product_attribute_1097_cc3e7c12_123303","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_33476","product_33476___export__.product_attribute_1098_d3402d46_123304","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33476","product_33476___export__.product_attribute_1099_57dff974_123305","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33476","product_33476___export__.product_attribute_1100_6c4b3516_123306","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39206_2ffa68ca"
"product_33476","product_33476___export__.product_attribute_1101_4b495b10_123307","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39219_f9409d8b"
"product_33476","product_33476___export__.product_attribute_1106_d3e679ea_123308","__export__.product_attribute_1106_d3e679ea","__export__.product_attribute_value_39574_28614cd1"
"product_33476","product_33476___export__.product_attribute_1109_39a86efa_123309","__export__.product_attribute_1109_39a86efa","__export__.product_attribute_value_40342_239c9b69"
"product_33476","product_33476___export__.product_attribute_1112_f35bcf40_123310","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40384_5755222f"
"product_33477","product_33477___export__.product_attribute_1096_cccb3879_123311","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39106_e6ee1b33"
"product_33477","product_33477___export__.product_attribute_1097_cc3e7c12_123312","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_33477","product_33477___export__.product_attribute_1098_d3402d46_123313","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_33477","product_33477___export__.product_attribute_1099_57dff974_123314","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_33477","product_33477___export__.product_attribute_1100_6c4b3516_123315","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39208_0a2471b9"
"product_33477","product_33477___export__.product_attribute_1101_4b495b10_123316","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39219_f9409d8b"
