"id externe","attribute_line_ids/id","attribute_line_ids/attribute_id/id","attribute_line_ids/value_ids/id"
"product_47636","product_47636___export__.product_attribute_1096_cccb3879_70458","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39109_0f4f5950"
"product_47636","product_47636___export__.product_attribute_1097_cc3e7c12_70459","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_47636","product_47636___export__.product_attribute_1097_cc3e7c12_70460","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_47636","product_47636___export__.product_attribute_1098_d3402d46_70461","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_47636","product_47636___export__.product_attribute_1099_57dff974_70462","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_47636","product_47636___export__.product_attribute_1100_6c4b3516_70463","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39216_8c69b1b6"
"product_47636","product_47636___export__.product_attribute_1101_4b495b10_70464","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39220_84db653f"
"product_47636","product_47636___export__.product_attribute_1105_957956d0_70465","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_47636","product_47636___export__.product_attribute_1106_d3e679ea_70466","__export__.product_attribute_1106_d3e679ea","__export__.product_attribute_value_39724_1cb0902f"
"product_47636","product_47636___export__.product_attribute_1109_39a86efa_70467","__export__.product_attribute_1109_39a86efa","__export__.product_attribute_value_40342_239c9b69"
"product_47636","product_47636___export__.product_attribute_1143_31c740e2_70468","__export__.product_attribute_1143_31c740e2","__export__.product_attribute_value_42091_ea7936fd"
"product_47645","product_47645___export__.product_attribute_1097_cc3e7c12_70469","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_47645","product_47645___export__.product_attribute_1098_d3402d46_70470","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_47645","product_47645___export__.product_attribute_1099_57dff974_70471","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_47645","product_47645___export__.product_attribute_1101_4b495b10_70472","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39220_84db653f"
"product_47645","product_47645___export__.product_attribute_1105_957956d0_70473","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_47645","product_47645___export__.product_attribute_1109_39a86efa_70474","__export__.product_attribute_1109_39a86efa","__export__.product_attribute_value_40364_5d72c25a"
"product_47645","product_47645___export__.product_attribute_1112_f35bcf40_70475","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40386_002bb3c5"
"product_47645","product_47645___export__.product_attribute_1112_f35bcf40_70476","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40392_1ba876fd"
"product_47645","product_47645___export__.product_attribute_1143_31c740e2_70477","__export__.product_attribute_1143_31c740e2","__export__.product_attribute_value_42091_ea7936fd"
"product_47645","product_47645___export__.product_attribute_1106_d3e679ea_70478","__export__.product_attribute_1106_d3e679ea","__export__.product_attribute_value_39549_8680b1f8"
"product_47753","product_47753___export__.product_attribute_1097_cc3e7c12_70479","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_47753","product_47753___export__.product_attribute_1098_d3402d46_70480","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_47753","product_47753___export__.product_attribute_1099_57dff974_70481","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_47753","product_47753___export__.product_attribute_1101_4b495b10_70482","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39219_f9409d8b"
"product_47753","product_47753___export__.product_attribute_1105_957956d0_70483","__export__.product_attribute_1105_957956d0","__export__.product_attribute_value_39365_1bc91b6c"
"product_47753","product_47753___export__.product_attribute_1112_f35bcf40_70484","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40390_7718d0f3"
