attribute_line_ids/id;id externe;attribute_line_ids/attribute_id/id;attribute_line_ids/value_ids/id
product_515___export__.product_attribute_1097_cc3e7c12_61;product_515;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_515___export__.product_attribute_1098_d3402d46_62;product_515;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_515___export__.product_attribute_1101_4b495b10_63;product_515;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39218_87b41887
product_516___export__.product_attribute_1096_cccb3879_64;product_516;__export__.product_attribute_1096_cccb3879;__export__.product_attribute_value_39106_e6ee1b33
product_516___export__.product_attribute_1097_cc3e7c12_65;product_516;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39115_87c81743
product_516___export__.product_attribute_1098_d3402d46_66;product_516;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_516___export__.product_attribute_1099_57dff974_67;product_516;__export__.product_attribute_1099_57dff974;__export__.product_attribute_value_39202_d315c04a
product_516___export__.product_attribute_1101_4b495b10_68;product_516;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39232_70c91b2b
product_571___export__.product_attribute_1097_cc3e7c12_69;product_571;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_571___export__.product_attribute_1097_cc3e7c12_70;product_571;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39112_a11a733b
product_571___export__.product_attribute_1098_d3402d46_71;product_571;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_571___export__.product_attribute_1101_4b495b10_72;product_571;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_572___export__.product_attribute_1097_cc3e7c12_73;product_572;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
product_572___export__.product_attribute_1097_cc3e7c12_74;product_572;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39112_a11a733b
product_572___export__.product_attribute_1098_d3402d46_75;product_572;__export__.product_attribute_1098_d3402d46;__export__.product_attribute_value_39150_04ced8dc
product_572___export__.product_attribute_1101_4b495b10_76;product_572;__export__.product_attribute_1101_4b495b10;__export__.product_attribute_value_39217_be0fa97d
product_573___export__.product_attribute_1097_cc3e7c12_77;product_573;__export__.product_attribute_1097_cc3e7c12;__export__.product_attribute_value_39111_c552d1d3
