"id externe","attribute_line_ids/id","attribute_line_ids/attribute_id/id","attribute_line_ids/value_ids/id"
"product_54628","product_54628___export__.product_attribute_1098_d3402d46_140913","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_54628","product_54628___export__.product_attribute_1099_57dff974_140914","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39203_a509b074"
"product_54628","product_54628___export__.product_attribute_1100_6c4b3516_140915","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39208_0a2471b9"
"product_54628","product_54628___export__.product_attribute_1101_4b495b10_140916","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_54628","product_54628___export__.product_attribute_1106_d3e679ea_140917","__export__.product_attribute_1106_d3e679ea","__export__.product_attribute_value_40152_0bb2740c"
"product_54628","product_54628___export__.product_attribute_1109_39a86efa_140918","__export__.product_attribute_1109_39a86efa","__export__.product_attribute_value_40370_d4de0843"
"product_54628","product_54628___import__.attribut_72_140919","__import__.attribut_72","__export__.product_attribute_value_43298_04f79cd3"
"product_54628","product_54628___export__.product_attribute_1112_f35bcf40_140920","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40386_002bb3c5"
"product_54628","product_54628___export__.product_attribute_1112_f35bcf40_140921","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_54628","product_54628___export__.product_attribute_1112_f35bcf40_140922","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40385_e37e5b98"
"product_54629","product_54629___export__.product_attribute_1096_cccb3879_140923","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39105_54f6593c"
"product_54629","product_54629___export__.product_attribute_1097_cc3e7c12_140924","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_54629","product_54629___export__.product_attribute_1098_d3402d46_140925","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_54629","product_54629___export__.product_attribute_1099_57dff974_140926","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_54629","product_54629___export__.product_attribute_1100_6c4b3516_140927","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39206_2ffa68ca"
"product_54629","product_54629___export__.product_attribute_1101_4b495b10_140928","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_54629","product_54629___export__.product_attribute_1106_d3e679ea_140929","__export__.product_attribute_1106_d3e679ea","__export__.product_attribute_value_40152_0bb2740c"
"product_54629","product_54629___export__.product_attribute_1109_39a86efa_140930","__export__.product_attribute_1109_39a86efa","__export__.product_attribute_value_40370_d4de0843"
"product_54629","product_54629___export__.product_attribute_1112_f35bcf40_140931","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40386_002bb3c5"
"product_54629","product_54629___export__.product_attribute_1112_f35bcf40_140932","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_54629","product_54629___export__.product_attribute_1112_f35bcf40_140933","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40390_7718d0f3"
"product_54629","product_54629___import__.attribut_72_140934","__import__.attribut_72","__export__.product_attribute_value_43284_c49acab0"
"product_54630","product_54630___export__.product_attribute_1096_cccb3879_140935","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39105_54f6593c"
"product_54630","product_54630___export__.product_attribute_1097_cc3e7c12_140936","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_54630","product_54630___export__.product_attribute_1098_d3402d46_140937","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_54630","product_54630___export__.product_attribute_1099_57dff974_140938","__export__.product_attribute_1099_57dff974","__export__.product_attribute_value_39202_d315c04a"
"product_54630","product_54630___export__.product_attribute_1100_6c4b3516_140939","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39208_0a2471b9"
"product_54630","product_54630___export__.product_attribute_1101_4b495b10_140940","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_54630","product_54630___export__.product_attribute_1106_d3e679ea_140941","__export__.product_attribute_1106_d3e679ea","__export__.product_attribute_value_40152_0bb2740c"
"product_54630","product_54630___export__.product_attribute_1109_39a86efa_140942","__export__.product_attribute_1109_39a86efa","__export__.product_attribute_value_40370_d4de0843"
"product_54630","product_54630___export__.product_attribute_1112_f35bcf40_140943","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40386_002bb3c5"
"product_54630","product_54630___export__.product_attribute_1112_f35bcf40_140944","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40387_56d925b6"
"product_54630","product_54630___export__.product_attribute_1112_f35bcf40_140945","__export__.product_attribute_1112_f35bcf40","__export__.product_attribute_value_40390_7718d0f3"
