"id externe","attribute_line_ids/id","attribute_line_ids/attribute_id/id","attribute_line_ids/value_ids/id"
"product_23418","product_23418___export__.product_attribute_1101_4b495b10_35230","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39217_be0fa97d"
"product_23418","product_23418___export__.product_attribute_1104_6c7bd99d_35231","__export__.product_attribute_1104_6c7bd99d","__export__.product_attribute_value_39360_9543f8d2"
"product_23420","product_23420___export__.product_attribute_1096_cccb3879_35232","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39104_f40f003c"
"product_23420","product_23420___export__.product_attribute_1097_cc3e7c12_35233","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39116_41d06d16"
"product_23420","product_23420___export__.product_attribute_1098_d3402d46_35234","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23420","product_23420___export__.product_attribute_1100_6c4b3516_35235","__export__.product_attribute_1100_6c4b3516","__export__.product_attribute_value_39207_93d58e29"
"product_23420","product_23420___export__.product_attribute_1101_4b495b10_35236","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39226_65d3693d"
"product_23421","product_23421___export__.product_attribute_1097_cc3e7c12_35237","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39116_41d06d16"
"product_23421","product_23421___export__.product_attribute_1098_d3402d46_35238","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_23422","product_23422___export__.product_attribute_1097_cc3e7c12_35239","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39111_c552d1d3"
"product_23422","product_23422___export__.product_attribute_1098_d3402d46_35240","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_23423","product_23423___export__.product_attribute_1097_cc3e7c12_35241","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_23423","product_23423___export__.product_attribute_1098_d3402d46_35242","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23424","product_23424___export__.product_attribute_1097_cc3e7c12_35243","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_23424","product_23424___export__.product_attribute_1098_d3402d46_35244","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23428","product_23428___export__.product_attribute_1097_cc3e7c12_35245","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_23428","product_23428___export__.product_attribute_1098_d3402d46_35246","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23429","product_23429___export__.product_attribute_1097_cc3e7c12_35247","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39113_acab44fe"
"product_23429","product_23429___export__.product_attribute_1098_d3402d46_35248","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23430","product_23430___export__.product_attribute_1097_cc3e7c12_35249","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_23430","product_23430___export__.product_attribute_1098_d3402d46_35250","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39152_3d27b449"
"product_23431","product_23431___export__.product_attribute_1097_cc3e7c12_35251","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39112_a11a733b"
"product_23431","product_23431___export__.product_attribute_1098_d3402d46_35252","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39154_e7064ff2"
"product_23431","product_23431___export__.product_attribute_1101_4b495b10_35253","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39234_b2bfc961"
"product_23433","product_23433___export__.product_attribute_1097_cc3e7c12_35254","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39114_2983dec3"
"product_23433","product_23433___export__.product_attribute_1098_d3402d46_35255","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23433","product_23433___export__.product_attribute_1101_4b495b10_35256","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39235_c2baeb32"
"product_23434","product_23434___export__.product_attribute_1097_cc3e7c12_35257","__export__.product_attribute_1097_cc3e7c12","__export__.product_attribute_value_39116_41d06d16"
"product_23434","product_23434___export__.product_attribute_1098_d3402d46_35258","__export__.product_attribute_1098_d3402d46","__export__.product_attribute_value_39150_04ced8dc"
"product_23434","product_23434___export__.product_attribute_1101_4b495b10_35259","__export__.product_attribute_1101_4b495b10","__export__.product_attribute_value_39226_65d3693d"
"product_23443","product_23443___export__.product_attribute_1096_cccb3879_35260","__export__.product_attribute_1096_cccb3879","__export__.product_attribute_value_39104_f40f003c"
